         48591972 function calls (47954037 primitive calls) in 579.909 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        2    0.000    0.000    0.000    0.000 managers.py:2190(_form_blocks)
        1    0.000    0.000    0.000    0.000 polytools.py:101(Poly)
      200    0.000    0.000    0.000    0.000 pyplot.py:164(_copy_docstring_and_deprecators)
      257    0.000    0.000    0.000    0.000 reader.py:114(get_mark)
        1    0.000    0.000    0.000    0.000 container.py:43(Sequential)
      126    0.000    0.000    0.000    0.000 cbook.py:909(get_siblings)
        2    0.000    0.000    0.000    0.000 traceback.py:1(<module>)
        1    0.000    0.000    0.000    0.000 rcsetup.py:1345(<dictcomp>)
        1    0.000    0.000    0.000    0.000 _tensor.py:81(Tensor)
        2    0.000    0.000    0.000    0.000 conv_fused.py:1(<module>)
        1    0.000    0.000    0.000    0.000 TiffTags.py:431(_populate)
       14    0.000    0.000    0.000    0.000 core.py:5835(__init__)
      265    0.000    0.000    0.000    0.000 dataclasses.py:1017(<listcomp>)
        1    0.000    0.000    0.000    0.000 solveset.py:1(<module>)
       12    0.000    0.000    0.000    0.000 axis.py:437(_get_text2_transform)
        1    0.000    0.000    0.000    0.000 gammasimp.py:1(<module>)
        1    0.000    0.000    0.000    0.000 arrayprint.py:1(<module>)
      537    0.000    0.000    0.000    0.000 rcsetup.py:180(validator)
        1    0.000    0.000    0.000    0.000 _script.py:931(_get_methods)
       13    0.000    0.000    0.000    0.000 deprecation.py:457(<listcomp>)
        1    0.000    0.000    0.000    0.000 flatten.py:1(<module>)
        1    0.000    0.000    0.000    0.000 zipfile.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _vmap_internals.py:1(<module>)
        1    0.000    0.000    0.000    0.000 transpose.py:1(<module>)
       32    0.000    0.000    0.000    0.000 Image.py:2018(putdata)
      315    0.000    0.000    0.000    0.000 _parser.py:963(fix_flags)
        1    0.000    0.000    0.000    0.000 glob.py:1(<module>)
      525    0.000    0.000    0.000    0.000 __init__.py:145(register_decomposition)
      416    0.000    0.000    0.000    0.000 module.py:2260(<lambda>)
        1    0.000    0.000    0.000    0.000 smtlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dispatch_and_compile_graph.py:1(<module>)
       11    0.000    0.000    0.000    0.000 axis.py:491(_get_text1_transform)
      171    0.000    0.000    0.000    0.000 decorator.py:175(public)
     2099    0.000    0.000    0.000    0.000 {built-in method sys.getrecursionlimit}
        1    0.000    0.000    0.000    0.000 pickletools.py:2224(assure_pickle_consistency)
      206    0.000    0.000    0.000    0.000 <frozen os>:748(encodekey)
       10    0.000    0.000    0.000    0.000 path.py:191(_create_closed)
        1    0.000    0.000    0.000    0.000 rrule.py:1(<module>)
        1    0.000    0.000    0.000    0.000 functional_call.py:1(<module>)
      766    0.000    0.000    0.000    0.000 __init__.py:1734(isEnabledFor)
       40    0.000    0.000    0.000    0.000 __init__.py:1524(_options)
     2600    0.000    0.000    0.000    0.000 copy.py:182(_deepcopy_atomic)
        1    0.000    0.000    0.000    0.000 _decorator.py:1(<module>)
        2    0.000    0.000    0.000    0.000 patches.py:694(__init__)
        1    0.000    0.000    0.000    0.000 trace_rules.py:2847(FunctionIdSet)
       11    0.000    0.000    0.000    0.000 version.py:47(parse)
        6    0.000    0.000    0.000    0.000 ticker.py:708(_compute_offset)
      157    0.000    0.000    0.000    0.000 lines.py:75(_scale_dashes)
       24    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:71(add_newdoc_for_scalar_type)
        1    0.000    0.000    0.000    0.000 __init__.py:584(get_cachedir)
       36    0.000    0.000    0.000    0.000 rcsetup.py:744(<genexpr>)
      150    0.000    0.000    0.000    0.000 font_manager.py:722(set_family)
      317    0.000    0.000    0.000    0.000 function_base.py:465(_needs_add_docstring)
        2    0.000    0.000    0.000    0.000 serialization.py:474(__exit__)
       36    0.000    0.000    0.000    0.000 Image.py:1397(getbbox)
        1    0.000    0.000    0.000    0.000 {built-in method nt.replace}
       24    0.000    0.000    0.000    0.000 functools.py:651(cache)
        1    0.000    0.000    0.000    0.000 runner.py:44(__init__)
       49    0.000    0.000    0.000    0.000 _ufunc_config.py:435(__exit__)
        1    0.000    0.000    0.000    0.000 axis.py:2398(_update_offset_text_position)
        1    0.000    0.000    0.000    0.000 gridspec.py:658(get_position)
        1    0.000    0.000    0.000    0.000 axis3d.py:38(Axis)
      170    0.000    0.000    0.000    0.000 colors.py:953(copy)
       18    0.000    0.000    0.000    0.000 cbook.py:215(connect)
        1    0.000    0.000    0.000    0.000 arraysetops.py:1(<module>)
       36    0.000    0.000    0.000    0.000 {method 'all' of 'numpy.ndarray' objects}
       41    0.000    0.000    0.000    0.000 artist.py:923(_set_gc_clip)
        1    0.000    0.000    0.000    0.000 device_mesh.py:161(DeviceMesh)
      174    0.000    0.000    0.000    0.000 typing.py:1962(_caller)
       26    0.000    0.000    0.000    0.000 _mangling.py:44(is_mangled)
        1    0.000    0.000    0.000    0.000 expr.py:42(Expr)
      573    0.000    0.000    0.000    0.000 registration.py:76(set_base)
        1    0.000    0.000    0.000    0.000 runner.py:10(__init__)
       12    0.000    0.000    0.000    0.000 _base.py:963(get_xaxis_text2_transform)
      179    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.affine_transform}
       36    0.000    0.000    0.000    0.000 Image.py:1304(_crop)
        2    0.000    0.000    0.000    0.000 {built-in method torch._C.write_end_of_file}
       11    0.000    0.000    0.000    0.000 _base.py:1017(get_yaxis_text1_transform)
        1    0.000    0.000    0.000    0.000 __init__.py:105(_delvewheel_patch_1_5_2)
        1    0.000    0.000    0.000    0.000 arraylike.py:1(<module>)
      290    0.000    0.000    0.000    0.000 types.py:164(__init__)
        1    0.000    0.000    0.000    0.000 const_fold.py:1(<module>)
        1    0.000    0.000    0.000    0.000 transforms.py:858(update_from_path)
        1    0.000    0.000    0.000    0.000 font_manager.py:1518(_cached_realpath)
        1    0.000    0.000    0.000    0.000 dict.py:1(<module>)
        1    0.000    0.000    0.000    0.000 order.py:1(<module>)
       68    0.000    0.000    0.000    0.000 text.py:1279(_preprocess_math)
        1    0.000    0.000    0.000    0.000 callable.py:173(CollatorIterDataPipe)
       29    0.000    0.000    0.000    0.000 __init__.py:85(<listcomp>)
      236    0.000    0.000    0.000    0.000 function.py:145(<listcomp>)
      106    0.000    0.000    0.000    0.000 extension.py:32(_inherit_from_data)
        1    0.000    0.000    0.000    0.000 graph_signature.py:192(ExportGraphSignature)
        1    0.000    0.000    0.000    0.000 quaternion.py:1(<module>)
        1    0.000    0.000    0.000    0.000 plane.py:1(<module>)
       29    0.000    0.000    0.000    0.000 transforms.py:794(unit)
        2    0.000    0.000    0.000    0.000 generic.py:4361(_slice)
        1    0.000    0.000    0.000    0.000 wrappers.py:242(_fn)
  250/215    0.000    0.000    0.000    0.000 transforms.py:167(_invalidate_internal)
        1    0.000    0.000    0.000    0.000 fnmatch.py:38(_compile_pattern)
        1    0.000    0.000    0.000    0.000 widgets.py:344(Slider)
       23    0.000    0.000    0.000    0.000 core.py:5165(__init__)
        1    0.000    0.000    0.000    0.000 threading.py:1(<module>)
      251    0.000    0.000    0.000    0.000 representer.py:77(represent_scalar)
     12/2    0.000    0.000    0.000    0.000 core.py:1546(makeOptionalList)
        1    0.000    0.000    0.000    0.000 parabola.py:1(<module>)
        1    0.000    0.000    0.000    0.000 logging_tensor.py:1(<module>)
        2    0.000    0.000    0.000    0.000 kind.py:287(_)
        1    0.000    0.000    0.000    0.000 buffer.py:70(__init__)
       30    0.000    0.000    0.000    0.000 symbolic_opset9.py:299(_apply)
     1105    0.000    0.000    0.000    0.000 {method 'pixel_access' of 'ImagingCore' objects}
       27    0.000    0.000    0.000    0.000 artist.py:45(allow_rasterization)
      280    0.000    0.000    0.000    0.000 function.py:150(<lambda>)
        1    0.000    0.000    0.000    0.000 upsampling.py:1(<module>)
  306/282    0.000    0.000    0.000    0.000 results.py:171(__init__)
       12    0.000    0.000    0.000    0.000 symbol.py:285(__new__)
       11    0.000    0.000    0.000    0.000 version.py:188(__init__)
       78    0.000    0.000    0.000    0.000 core.py:4038(<genexpr>)
       27    0.000    0.000    0.000    0.000 singleton.py:165(__init__)
      138    0.000    0.000    0.000    0.000 cbook.py:1324(is_math_text)
        4    0.000    0.000    0.000    0.000 blocks.py:775(get_values_for_csv)
        1    0.000    0.000    0.000    0.000 _foreach_utils.py:1(<module>)
        1    0.000    0.000    0.000    0.000 datetimelike.py:196(DatetimeLikeArrayMixin)
        1    0.000    0.000    0.000    0.000 sql.py:1(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:5475(randn)
       36    0.000    0.000    0.000    0.000 transforms.py:317(ymax)
        1    0.000    0.000    0.000    0.000 op_schema.py:64(PlacementStrategy)
       12    0.000    0.000    0.000    0.000 deprecated.py:41(setup_docs)
       23    0.000    0.000    0.000    0.000 __init__.py:416(by_key)
      698    0.000    0.000    0.000    0.000 ast.py:255(iter_fields)
        1    0.000    0.000    0.000    0.000 registry.py:1(<module>)
       18    0.000    0.000    0.000    0.000 __init__.py:482(cycler)
        1    0.000    0.000    0.000    0.000 pass_base.py:1(<module>)
        1    0.000    0.000    0.000    0.000 {built-in method matplotlib._path.update_path_extents}
        8    0.000    0.000    0.000    0.000 typing_extensions.py:579(__new__)
      159    0.000    0.000    0.000    0.000 <frozen _collections_abc>:933(clear)
      133    0.000    0.000    0.000    0.000 _collections.py:28(parse)
        1    0.000    0.000    0.000    0.000 sharding_prop.py:1(<module>)
       77    0.000    0.000    0.000    0.000 registration.py:436(<genexpr>)
      114    0.000    0.000    0.000    0.000 typing.py:1536(__mro_entries__)
       42    0.000    0.000    0.000    0.000 docstrings.py:7(make_flex_doc)
       23    0.000    0.000    0.000    0.000 overrides.py:177(decorator)
        1    0.000    0.000    0.000    0.000 hashlib.py:1(<module>)
        1    0.000    0.000    0.000    0.000 runners.py:1(<module>)
      139    0.000    0.000    0.000    0.000 core.py:1973(__eq__)
        2    0.000    0.000    0.000    0.000 sdpa.py:1(<module>)
        2    0.000    0.000    0.000    0.000 fused.py:1(<module>)
       77    0.000    0.000    0.000    0.000 {method 'strftime' of 'datetime.date' objects}
        4    0.000    0.000    0.000    0.000 module.py:776(_apply)
       30    0.000    0.000    0.000    0.000 ipaddress.py:1282(__init__)
        1    0.000    0.000    0.000    0.000 profiler_util.py:1(<module>)
       17    0.000    0.000    0.000    0.000 {method 'draw_text_image' of 'matplotlib.backends._backend_agg.RendererAgg' objects}
        1    0.000    0.000    0.000    0.000 contains.py:1(<module>)
      692    0.000    0.000    0.000    0.000 {method 'update' of 'set' objects}
       11    0.000    0.000    0.000    0.000 __init__.py:1992(__getattr__)
        1    0.000    0.000    0.000    0.000 container.py:682(ParameterDict)
       20    0.000    0.000    0.000    0.000 <frozen ntpath>:249(dirname)
       52    0.000    0.000    0.000    0.000 artist.py:1112(set_zorder)
        1    0.000    0.000    0.000    0.000 model.py:1837(BaseTy)
        1    0.000    0.000    0.000    0.000 ExifTags.py:305(GPS)
        1    0.000    0.000    0.000    0.000 meijerint.py:1(<module>)
      168    0.000    0.000    0.000    0.000 scanner.py:1416(scan_line_break)
        1    0.000    0.000    0.000    0.000 importer.py:1(<module>)
      135    0.000    0.000    0.000    0.000 emitter.py:133(need_events)
     2010    0.000    0.000    0.000    0.000 {method 'values' of 'dict' objects}
      105    0.000    0.000    0.000    0.000 pyplot.py:966(_auto_draw_if_interactive)
        1    0.000    0.000    0.000    0.000 _config_module.py:111(ConfigModule)
    347/1    0.000    0.000    0.000    0.000 __config__.py:19(_cleanup)
        3    0.000    0.000    0.000    0.000 init.py:406(kaiming_uniform_)
       37    0.000    0.000    0.000    0.000 decorators.py:202(make_wrapped)
       12    0.000    0.000    0.000    0.000 _strptime.py:219(__seqToRE)
        2    0.000    0.000    0.000    0.000 quant_type.py:1(<module>)
       13    0.000    0.000    0.000    0.000 core.py:8389(__init__)
        7    0.000    0.000    0.000    0.000 _backend_tk.py:908(createToolTip)
     39/1    0.000    0.000    0.000    0.000 __config__.py:25(<dictcomp>)
       63    0.000    0.000    0.000    0.000 transforms.py:2897(_interval_contains_close)
       52    0.000    0.000    0.000    0.000 registration.py:448(<genexpr>)
      243    0.000    0.000    0.000    0.000 __init__.py:228(_acquireLock)
        1    0.000    0.000    0.000    0.000 kronecker.py:1(<module>)
        1    0.000    0.000    0.000    0.000 PpmImagePlugin.py:1(<module>)
       45    0.000    0.000    0.000    0.000 PngImagePlugin.py:160(read)
       42    0.000    0.000    0.000    0.000 __init__.py:1569(_register)
        1    0.000    0.000    0.000    0.000 ctypeslib.py:360(_get_scalar_type_map)
        2    0.000    0.000    0.000    0.000 pathlib.py:313(select_from)
       47    0.000    0.000    0.000    0.000 transforms.py:2668(__init__)
       41    0.000    0.000    0.000    0.000 decorators.py:98(priority_decorator)
        1    0.000    0.000    0.000    0.000 parametrize.py:1(<module>)
      265    0.000    0.000    0.000    0.000 dataclasses.py:1043(<listcomp>)
        1    0.000    0.000    0.000    0.000 legend.py:342(Legend)
        1    0.000    0.000    0.000    0.000 texmanager.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _calamine.py:1(<module>)
      304    0.000    0.000    0.000    0.000 representer.py:136(ignore_aliases)
        3    0.000    0.000    0.000    0.000 constants.py:1(<module>)
       65    0.000    0.000    0.000    0.000 results.py:449(__iadd__)
        1    0.000    0.000    0.000    0.000 input_output_analysis.py:1(<module>)
       41    0.000    0.000    0.000    0.000 backend_bases.py:934(set_clip_path)
        1    0.000    0.000    0.000    0.000 csv.py:1(<module>)
        1    0.000    0.000    0.000    0.000 find_file_dependencies.py:1(<module>)
       40    0.000    0.000    0.000    0.000 {built-in method _ctypes.POINTER}
        1    0.000    0.000    0.000    0.000 ctypeslib.py:371(<dictcomp>)
      605    0.000    0.000    0.000    0.000 _inspect.py:26(isfunction)
     1374    0.000    0.000    0.000    0.000 dataclasses.py:1106(<genexpr>)
        1    0.000    0.000    0.000    0.000 lambda_action.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _builtins.py:1(<module>)
      281    0.000    0.000    0.000    0.000 enum.py:1152(_generate_next_value_)
       36    0.000    0.000    0.000    0.000 {method 'point' of 'ImagingCore' objects}
     1561    0.000    0.000    0.000    0.000 {method 'decode' of 'bytes' objects}
        2    0.000    0.000    0.000    0.000 fuser_method_mappings.py:1(<module>)
        1    0.000    0.000    0.000    0.000 dviread.py:238(Dvi)
       11    0.000    0.000    0.000    0.000 axis.py:494(_get_text2_transform)
        1    0.000    0.000    0.000    0.000 ticker.py:2240(LogLocator)
       51    0.000    0.000    0.000    0.000 sympify.py:500(_sympify)
       34    0.000    0.000    0.000    0.000 utils.py:118(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:2359(_make_var_reduction_prim)
      114    0.000    0.000    0.000    0.000 {method 'putpalette' of 'ImagingCore' objects}
        1    0.000    0.000    0.000    0.000 schemas.py:518(GraphSignature)
        6    0.000    0.000    0.000    0.000 typing.py:2300(get_type_hints)
      375    0.000    0.000    0.000    0.000 traceback.py:322(walk_stack)
        1    0.000    0.000    0.000    0.000 _color_data.py:989(<dictcomp>)
      236    0.000    0.000    0.000    0.000 iterables.py:3076(is_sequence)
      132    0.000    0.000    0.000    0.000 expr.py:181(<genexpr>)
        1    0.000    0.000    0.000    0.000 arraylike.py:31(OpsMixin)
        2    0.000    0.000    0.000    0.000 textwrap.py:386(fill)
       32    0.000    0.000    0.000    0.000 __init__.py:680(__init__)
       70    0.000    0.000    0.000    0.000 lines.py:1123(set_linewidth)
        1    0.000    0.000    0.000    0.000 _openpyxl.py:1(<module>)
       20    0.000    0.000    0.000    0.000 {method 'clone' of 'torch._C.TensorBase' objects}
      111    0.000    0.000    0.000    0.000 text.py:997(set_horizontalalignment)
        9    0.000    0.000    0.000    0.000 {method 'decode' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.000    0.000 stata.py:823(StataMissingValue)
      203    0.000    0.000    0.000    0.000 shape_base.py:608(_column_stack_dispatcher)
      170    0.000    0.000    0.000    0.000 colors.py:771(__copy__)
       59    0.000    0.000    0.000    0.000 text.py:1214(set_rotation)
        1    0.000    0.000    0.000    0.000 pixel_observation.py:1(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:344(_findfile)
        1    0.000    0.000    0.000    0.000 rendezvous.py:1(<module>)
        5    0.000    0.000    0.000    0.000 transforms.py:656(<listcomp>)
      310    0.000    0.000    0.000    0.000 {built-in method unicodedata.lookup}
       17    0.000    0.000    0.000    0.000 generic.py:36(create_pandas_abc_type)
      213    0.000    0.000    0.000    0.000 ctx_fp.py:51(_wrap_specfun)
      315    0.000    0.000    0.000    0.000 _parser.py:77(__init__)
        1    0.000    0.000    0.000    0.000 container.py:408(ModuleDict)
        1    0.000    0.000    0.000    0.000 _decorator.py:65(non_deterministic)
       36    0.000    0.000    0.000    0.000 _methods.py:61(_all)
       76    0.000    0.000    0.000    0.000 ImagePalette.py:210(raw)
       69    0.000    0.000    0.000    0.000 font_manager.py:736(set_style)
        1    0.000    0.000    0.000    0.000 _base.py:3513(set_xbound)
       94    0.000    0.000    0.000    0.000 typing.py:296(_unpack_args)
      573    0.000    0.000    0.000    0.000 registration.py:267(onnx_symbolic)
       70    0.000    0.000    0.000    0.000 lines.py:1407(set_dash_capstyle)
       17    0.000    0.000    0.000    0.000 _internal.py:804(_setup_handlers)
      265    0.000    0.000    0.000    0.000 <frozen abc>:146(update_abstractmethods)
        1    0.000    0.000    0.000    0.000 tokens.py:1(<module>)
        1    0.000    0.000    0.000    0.000 glob.py:175(_listdir)
      586    0.000    0.000    0.000    0.000 _inspect.py:41(iscode)
       15    0.000    0.000    0.000    0.000 symbolic_opset10.py:76(_apply)
        1    0.000    0.000    0.000    0.000 passive_env_checker.py:164(env_reset_passive_checker)
        1    0.000    0.000    0.000    0.000 calendar.py:1(<module>)
       11    0.000    0.000    0.000    0.000 _base.py:1043(get_yaxis_text2_transform)
        1    0.000    0.000    0.000    0.000 _meta.py:7(PackageMetadata)
        5    0.000    0.000    0.000    0.000 _base.py:2516(_process_unit_info)
       14    0.000    0.000    0.000    0.000 hashlib.py:126(__get_openssl_constructor)
        1    0.000    0.000    0.000    0.000 symbolic_shapes.py:813(EqualityConstraint)
        1    0.000    0.000    0.000    0.000 _encoded_words.py:1(<module>)
       15    0.000    0.000    0.000    0.000 fromnumeric.py:2100(clip)
       18    0.000    0.000    0.000    0.000 __init__.py:546(_cycler)
      213    0.000    0.000    0.000    0.000 ctx_mp_python.py:1014(_wrap_specfun)
        1    0.000    0.000    0.000    0.000 shlex.py:1(<module>)
       15    0.000    0.000    0.000    0.000 base.py:549(find)
        7    0.000    0.000    0.000    0.000 core.py:1453(__radd__)
        1    0.000    0.000    0.000    0.000 adaptive.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polyoptions.py:297(Wrt)
       11    0.000    0.000    0.000    0.000 core.py:1705(__call__)
       35    0.000    0.000    0.000    0.000 transforms.py:307(ymin)
        2    0.000    0.000    0.000    0.000 operations.py:604(register_handlerclass)
      265    0.000    0.000    0.000    0.000 dataclasses.py:346(__init__)
       12    0.000    0.000    0.000    0.000 config.py:145(_get_option)
       13    0.000    0.000    0.000    0.000 core.py:8394(getdoc)
        7    0.000    0.000    0.000    0.000 Image.py:732(__array_interface__)
        1    0.000    0.000    0.000    0.000 utils.py:455(OrderedSet)
       40    0.000    0.000    0.000    0.000 colors.py:1149(__init__)
        1    0.000    0.000    0.000    0.000 repmatrix.py:1(<module>)
       38    0.000    0.000    0.000    0.000 {method 'histogram' of 'ImagingCore' objects}
        1    0.000    0.000    0.000    0.000 filelister.py:1(<module>)
       20    0.000    0.000    0.000    0.000 colors.py:1189(reversed)
        1    0.000    0.000    0.000    0.000 _distributor_init.py:1(<module>)
       10    0.000    0.000    0.000    0.000 _deprecation.py:20(decorator)
        1    0.000    0.000    0.000    0.000 fields.py:1(<module>)
     2403    0.000    0.000    0.000    0.000 {built-in method builtins.chr}
        2    0.000    0.000    0.000    0.000 _strptime.py:88(__calc_month)
        1    0.000    0.000    0.000    0.000 datetimelike.py:87(DatetimeIndexOpsMixin)
        8    0.000    0.000    0.000    0.000 _contextlib.py:123(__call__)
     1424    0.000    0.000    0.000    0.000 _builtins.py:137(_is_special_functional_bound_op)
        2    0.000    0.000    0.000    0.000 textwrap.py:361(fill)
       35    0.000    0.000    0.000    0.000 transforms.py:1833(frozen)
        1    0.000    0.000    0.000    0.000 __init__.py:158(_DerivedObserverOrFakeQuantize)
        1    0.000    0.000    0.000    0.000 model.py:1069(NativeFunctionsGroup)
      164    0.000    0.000    0.000    0.000 cbook.py:181(__init__)
      738    0.000    0.000    0.000    0.000 ImagePalette.py:55(palette)
        1    0.000    0.000    0.000    0.000 flatten.py:55(Unflatten)
        1    0.000    0.000    0.000    0.000 graph.py:44(Node)
        3    0.000    0.000    0.000    0.000 _fontconfig_pattern.py:59(comma_separated)
       32    0.000    0.000    0.000    0.000 transforms.py:302(xmin)
        1    0.000    0.000    0.000    0.000 axis.py:43(Tick)
       23    0.000    0.000    0.000    0.000 getlimits.py:484(__new__)
       64    0.000    0.000    0.000    0.000 _decorators.py:443(__call__)
        1    0.000    0.000    0.000    0.000 conditionset.py:1(<module>)
        1    0.000    0.000    0.000    0.000 proactor_events.py:1(<module>)
        1    0.000    0.000    0.000    0.000 pkgutil.py:1(<module>)
        1    0.000    0.000    0.000    0.000 output_graph.py:232(OutputGraph)
       23    0.000    0.000    0.000    0.000 transforms.py:1612(transform_path_non_affine)
        1    0.000    0.000    0.000    0.000 datetimelike.py:430(DatetimeTimedeltaMixin)
     1043    0.000    0.000    0.000    0.000 {built-in method _codecs.charmap_encode}
        1    0.000    0.000    0.000    0.000 autocast_mode.py:22(autocast)
       76    0.000    0.000    0.000    0.000 GifImagePlugin.py:919(_get_color_table_size)
        1    0.000    0.000    0.000    0.000 dtypes.py:945(PeriodDtype)
      130    0.000    0.000    0.000    0.000 colors.py:967(__init__)
        1    0.000    0.000    0.000    0.000 tuple.py:1(<module>)
        1    0.000    0.000    0.000    0.000 common.py:437(<listcomp>)
        1    0.000    0.000    0.000    0.000 semi_structured.py:35(SparseSemiStructuredTensor)
        1    0.000    0.000    0.000    0.000 _state.py:1(<module>)
        1    0.000    0.000    0.000    0.000 polygon.py:25(<listcomp>)
       98    0.000    0.000    0.000    0.000 _ufunc_config.py:132(geterr)
        1    0.000    0.000    0.000    0.000 wishart.py:1(<module>)
       78    0.000    0.000    0.000    0.000 tokenize.py:329(find_cookie)
        1    0.000    0.000    0.000    0.000 funcmatrix.py:1(<module>)
        1    0.000    0.000    0.000    0.000 sharding_prop.py:35(ShardingPropagator)
       10    0.000    0.000    0.000    0.000 inspect.py:1655(_get_code_position)
        2    0.000    0.000    0.000    0.000 __init__.py:3046(__init__)
        2    0.000    0.000    0.000    0.000 textwrap.py:347(wrap)
        1    0.000    0.000    0.000    0.000 timedeltas.py:103(TimedeltaArray)
      328    0.000    0.000    0.000    0.000 traceback.py:261(__init__)
        1    0.000    0.000    0.000    0.000 param_fetch.py:1(<module>)
        5    0.000    0.000    0.000    0.000 transforms.py:657(<listcomp>)
        1    0.000    0.000    0.000    0.000 matexpr.py:36(MatrixExpr)
        1    0.000    0.000    0.000    0.000 buffer.py:93(reset)
      133    0.000    0.000    0.000    0.000 __init__.py:442(_make)
      295    0.000    0.000    0.000    0.000 emitter.py:146(increase_indent)
        2    0.000    0.000    0.000    0.000 ticker.py:2858(__init__)
        1    0.000    0.000    0.000    0.000 _functional_collectives_impl.py:1(<module>)
       36    0.000    0.000    0.000    0.000 {method 'getbbox' of 'ImagingCore' objects}
        6    0.000    0.000    0.000    0.000 ticker.py:747(_set_order_of_magnitude)
        2    0.000    0.000    0.000    0.000 {built-in method nt.scandir}
       35    0.000    0.000    0.000    0.000 inspect.py:402(isgeneratorfunction)
        1    0.000    0.000    0.000    0.000 symbolic_opset12.py:1(<module>)
      822    0.000    0.000    0.000    0.000 {method '__subclasses__' of 'type' objects}
      133    0.000    0.000    0.000    0.000 __init__.py:236(matches)
        1    0.000    0.000    0.000    0.000 transforms.py:84(TransformNode)
        1    0.000    0.000    0.000    0.000 _legacy.py:1(<module>)
        8    0.000    0.000    0.000    0.000 core.py:585(_setResultsName)
        8    0.000    0.000    0.000    0.000 missing.py:101(isna)
       23    0.000    0.000    0.000    0.000 artist.py:1001(set_alpha)
     1876    0.000    0.000    0.000    0.000 __init__.py:860(<lambda>)
        1    0.000    0.000    0.000    0.000 _comparison.py:30(ErrorMeta)
        1    0.000    0.000    0.000    0.000 widgets.py:2533(SpanSelector)
        1    0.000    0.000    0.000    0.000 gaussiandomains.py:1(<module>)
       11    0.000    0.000    0.000    0.000 transforms.py:1106(get_points)
        1    0.000    0.000    0.000    0.000 selecting.py:1(<module>)
        1    0.000    0.000    0.000    0.000 join.py:106(Join)
      213    0.000    0.000    0.000    0.000 _funcs.py:21(is_public_function)
        3    0.000    0.000    0.000    0.000 {built-in method nt.readlink}
        4    0.000    0.000    0.000    0.000 __init__.py:85(<genexpr>)
        1    0.000    0.000    0.000    0.000 period.py:80(PeriodIndex)
       70    0.000    0.000    0.000    0.000 lines.py:1211(set_markeredgecolor)
       24    0.000    0.000    0.000    0.000 dtypes.py:66(_add_dtype_helper)
        2    0.000    0.000    0.000    0.000 _exceptions.py:1(<module>)
       33    0.000    0.000    0.000    0.000 base.py:213(<listcomp>)
      183    0.000    0.000    0.000    0.000 __init__.py:1310(_val_or_rc)
        3    0.000    0.000    0.000    0.000 backend_bases.py:3461(export)
       12    0.000    0.000    0.000    0.000 markers.py:785(_set_tickdown)
        5    0.000    0.000    0.000    0.000 transforms.py:658(<listcomp>)
        5    0.000    0.000    0.000    0.000 transforms.py:659(<listcomp>)
      875    0.000    0.000    0.000    0.000 conflict.py:67(<listcomp>)
        1    0.000    0.000    0.000    0.000 tensor.py:1(<module>)
        1    0.000    0.000    0.000    0.000 meta_utils.py:1(<module>)
       63    0.000    0.000    0.000    0.000 ticker.py:514(_format_maybe_minus_and_locale)
        1    0.000    0.000    0.000    0.000 backend_bases.py:2802(NavigationToolbar2)
       20    0.000    0.000    0.000    0.000 ipaddress.py:1183(_ip_int_from_string)
       16    0.000    0.000    0.000    0.000 __init__.py:1218(winfo_rgb)
        1    0.000    0.000    0.000    0.000 adjoint.py:1(<module>)
       32    0.000    0.000    0.000    0.000 {method 'putdata' of 'ImagingCore' objects}
       68    0.000    0.000    0.000    0.000 pickletools.py:1124(__init__)
       69    0.000    0.000    0.000    0.000 font_manager.py:749(set_variant)
        2    0.000    0.000    0.000    0.000 _shape.py:1(<module>)
        1    0.000    0.000    0.000    0.000 companion.py:1(<module>)
        1    0.000    0.000    0.000    0.000 schemas.py:199(ViewAndMutationMeta)
        1    0.000    0.000    0.000    0.000 container.py:250(ModuleList)
     1058    0.000    0.000    0.000    0.000 _ops.py:754(overloadpacket)
       11    0.000    0.000    0.000    0.000 {built-in method torch.empty}
      475    0.000    0.000    0.000    0.000 facts.py:579(__init__)
        1    0.000    0.000    0.000    0.000 _lazy_graph_module.py:1(<module>)
        1    0.000    0.000    0.000    0.000 transforms.py:2106(IdentityTransform)
       18    0.000    0.000    0.000    0.000 lines.py:726(_get_transformed_path)
      169    0.000    0.000    0.000    0.000 function.py:147(<listcomp>)
        2    0.000    0.000    0.000    0.000 ticker.py:1974(__init__)
        7    0.000    0.000    0.000    0.000 <frozen os>:1108(add_dll_directory)
       12    0.000    0.000    0.000    0.000 cbook.py:1685(_safe_first_finite)
        1    0.000    0.000    0.000    0.000 types.py:35(GuardFn)
      774    0.000    0.000    0.000    0.000 scanner.py:264(next_possible_simple_key)
