         48591972 function calls (47954037 primitive calls) in 579.909 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
 10444201    1.921    0.000    1.921    0.000 {built-in method unicodedata.east_asian_width}
    40000    0.105    0.000    1.907    0.000 _ops.py:846(__call__)
    40000    1.801    0.000    1.801    0.000 {built-in method torch._ops.profiler._record_function_enter_new}
    78616    0.197    0.000    1.720    0.000 fromnumeric.py:2979(prod)
   200000    1.705    0.000    1.705    0.000 {method 'addcdiv_' of 'torch._C.TensorBase' objects}
     2192    0.035    0.000    1.695    0.001 <frozen importlib._bootstrap_external>:1007(get_code)
     1421    0.101    0.000    1.653    0.001 controller.py:76(exploit)
    41423    0.276    0.000    1.621    0.000 rnn.py:301(_update_flat_weights)
        1    0.000    0.000    1.502    1.502 convert_frame.py:1(<module>)
   200000    1.479    0.000    1.479    0.000 {method 'addcmul_' of 'torch._C.TensorBase' objects}
    20000    1.417    0.000    1.417    0.000 {built-in method torch.repeat_interleave}
    18615    0.695    0.000    1.410    0.000 {method 'choice' of 'numpy.random.mtrand.RandomState' objects}
    80008    0.338    0.000    1.364    0.000 buffer.py:246(_pad_array_to_length)
    20036    0.075    0.000    1.361    0.000 runner.py:53(_next_state)
    41423    0.539    0.000    1.328    0.000 rnn.py:262(_weights_have_changed)
    20002    0.151    0.000    1.326    0.000 trace_rules.py:3432(lookup_inner)
    41421    1.315    0.000    1.315    0.000 {method 'float' of 'torch._C.TensorBase' objects}
     1421    0.021    0.000    1.309    0.001 controller.py:47(choose)
    20003    0.216    0.000    1.287    0.000 record_episode_statistics.py:76(reset)
     2449    0.034    0.000    1.279    0.001 <frozen importlib._bootstrap>:1054(_find_spec)
   200000    0.407    0.000    1.263    0.000 optimizer.py:84(_get_value)
759061/721824    0.730    0.000    1.261    0.000 {built-in method builtins.getattr}
     1421    0.126    0.000    1.241    0.001 controller.py:33(extended_q_values)
     2427    0.004    0.000    1.210    0.000 <frozen importlib._bootstrap_external>:1496(find_spec)
     2427    0.014    0.000    1.206    0.000 <frozen importlib._bootstrap_external>:1464(_get_spec)
   139197    1.202    0.000    1.202    0.000 {method 'reduce' of 'numpy.ufunc' objects}
1866415/1766009    0.779    0.000    1.170    0.000 {built-in method builtins.isinstance}
   745653    1.157    0.000    1.157    0.000 module.py:1696(__getattr__)
     4138    0.110    0.000    1.121    0.000 <frozen importlib._bootstrap_external>:1604(find_spec)
    40000    0.470    0.000    1.089    0.000 shape_base.py:512(expand_dims)
   140022    1.079    0.000    1.079    0.000 {built-in method numpy.zeros}
    20000    1.071    0.000    1.071    0.000 {method 'max' of 'torch._C.TensorBase' objects}
    41421    0.305    0.000    1.062    0.000 rnn.py:816(check_forward_args)
   100054    0.554    0.000    1.061    0.000 module.py:1711(__setattr__)
    40039    0.114    0.000    1.054    0.000 maze.py:202(_get_obs)
    20036    0.041    0.000    1.041    0.000 order_enforcing.py:52(step)
    40000    0.383    0.000    1.012    0.000 profiler.py:610(__exit__)
55860/18623    0.225    0.000    1.006    0.000 core.py:279(__getattr__)
    20036    0.041    0.000    0.999    0.000 env_checker.py:45(step)
5179/4991    0.097    0.000    0.993    0.000 {built-in method builtins.__build_class__}
    20036    0.161    0.000    0.959    0.000 maze.py:91(step)
        1    0.000    0.000    0.958    0.958 controller.py:1(<module>)
     2193    0.015    0.000    0.958    0.000 <frozen importlib._bootstrap_external>:1127(get_data)
   207105    0.941    0.000    0.941    0.000 {built-in method torch._C._get_tracing_state}
    40039    0.455    0.000    0.939    0.000 maze.py:219(_get_agent_position_obs)
        1    0.000    0.000    0.911    0.911 symbolic_shapes.py:1(<module>)
   101421    0.894    0.000    0.894    0.000 {method 'squeeze' of 'torch._C.TensorBase' objects}
    20003    0.062    0.000    0.892    0.000 core.py:449(reset)
        4    0.000    0.000    0.884    0.221 functions.py:1(<module>)
   440000    0.400    0.000    0.881    0.000 _utils.py:851(is_compiling)
     9782    0.010    0.000    0.877    0.000 <frozen importlib._bootstrap_external>:140(_path_stat)
    20003    0.059    0.000    0.830    0.000 order_enforcing.py:58(reset)
    20003    0.073    0.000    0.771    0.000 env_checker.py:53(reset)
        1    0.000    0.000    0.747    0.747 pyplot.py:1(<module>)
     2193    0.745    0.000    0.745    0.000 {built-in method io.open_code}
        1    0.002    0.002    0.730    0.730 _meta_registrations.py:1(<module>)
    80008    0.122    0.000    0.714    0.000 _tensor.py:1083(__array__)
    40000    0.327    0.000    0.697    0.000 functional.py:47(broadcast_tensors)
    20003    0.240    0.000    0.697    0.000 maze.py:126(reset)
    42337    0.114    0.000    0.696    0.000 package_importer.py:694(_patched_getfile)
       40    0.001    0.000    0.690    0.017 inspect.py:1055(findsource)
       10    0.000    0.000    0.680    0.068 inspect.py:1662(getframeinfo)
      149    0.014    0.000    0.678    0.005 inspect.py:973(getmodule)
2667/2661    0.003    0.000    0.667    0.000 __init__.py:108(import_module)
        1    0.003    0.003    0.667    0.667 trace_rules.py:2777(get_torch_obj_rule_map)
     2642    0.005    0.000    0.665    0.000 trace_rules.py:2803(load_object)
2669/2661    0.003    0.000    0.664    0.000 <frozen importlib._bootstrap>:1192(_gcd_import)
    20000    0.076    0.000    0.653    0.000 _tensor.py:34(wrapped)
   200000    0.415    0.000    0.637    0.000 optimizer.py:97(_dispatch_sqrt)
    60000    0.607    0.000    0.607    0.000 {method 'reshape' of 'torch._C.TensorBase' objects}
    55857    0.195    0.000    0.606    0.000 logger.py:40(warn)
    40003    0.068    0.000    0.601    0.000 _ops.py:591(__call__)
388101/388058    0.418    0.000    0.590    0.000 {built-in method builtins.hasattr}
    81429    0.579    0.000    0.579    0.000 {method 'numpy' of 'torch._C.TensorBase' objects}
    20000    0.188    0.000    0.573    0.000 optimizer.py:109(_default_to_fused_or_foreach)
    20000    0.235    0.000    0.572    0.000 __init__.py:60(_make_grads)
     2642    0.003    0.000    0.572    0.000 trace_rules.py:2793(_load_obj_from_str)
    20000    0.064    0.000    0.562    0.000 _tensor.py:964(__rsub__)
   260000    0.561    0.000    0.561    0.000 {method 'item' of 'torch._C.TensorBase' objects}
   180022    0.192    0.000    0.553    0.000 module.py:2313(children)
    40000    0.533    0.000    0.533    0.000 {built-in method torch._ops.profiler.}
    42337    0.257    0.000    0.532    0.000 inspect.py:896(getfile)
        1    0.000    0.000    0.523    0.523 experiment.py:1(<module>)
        2    0.000    0.000    0.523    0.261 info.py:1(<module>)
    18615    0.175    0.000    0.521    0.000 maze.py:166(get_valid_explore_actions)
    63690    0.095    0.000    0.512    0.000 {built-in method builtins.all}
    20000    0.498    0.000    0.498    0.000 {built-in method torch.rsub}
        1    0.000    0.000    0.489    0.489 trace_rules.py:1(<module>)
       27    0.001    0.000    0.487    0.018 utils.py:1(<module>)
   440000    0.386    0.000    0.481    0.000 __init__.py:157(is_compiling)
    20036    0.065    0.000    0.474    0.000 fromnumeric.py:2177(sum)
        4    0.000    0.000    0.470    0.118 embedding_ops.py:1(<module>)
        9    0.000    0.000    0.466    0.052 api.py:1(<module>)
     2187    0.015    0.000    0.458    0.000 <frozen ntpath>:674(realpath)
      105    0.001    0.000    0.458    0.004 artist.py:159(_update_set_signature_and_docstring)
    40000    0.332    0.000    0.456    0.000 profiler.py:593(__init__)
      104    0.001    0.000    0.449    0.004 artist.py:126(__init_subclass__)
        2    0.002    0.001    0.445    0.222 decompositions.py:1(<module>)
        6    0.001    0.000    0.442    0.074 functional.py:1(<module>)
     2191    0.010    0.000    0.439    0.000 <frozen importlib._bootstrap_external>:727(_compile_bytecode)
        1    0.000    0.000    0.433    0.433 _functional_collectives.py:1(<module>)
    40011    0.068    0.000    0.431    0.000 fromnumeric.py:2322(any)
    80040    0.239    0.000    0.428    0.000 grad_mode.py:183(__init__)
     2191    0.423    0.000    0.423    0.000 {built-in method marshal.loads}
    41468    0.420    0.000    0.420    0.000 {built-in method numpy.arange}
        1    0.000    0.000    0.419    0.419 _functional_collectives.py:891(_register_ops)
    25005    0.270    0.000    0.419    0.000 std.py:1446(format_dict)
        1    0.000    0.000    0.418    0.418 figure.py:1(<module>)
     4380    0.416    0.000    0.416    0.000 {built-in method nt._getfinalpathname}
    94564    0.415    0.000    0.415    0.000 maze.py:182(_next_state)
        9    0.000    0.000    0.414    0.046 _custom_ops.py:181(impl_abstract)
        9    0.000    0.000    0.414    0.046 library.py:383(impl_abstract)
        9    0.000    0.000    0.412    0.046 utils.py:30(get_source)
    20002    0.114    0.000    0.401    0.000 eval_frame.py:550(__init__)
        2    0.000    0.000    0.381    0.190 quantize.py:1(<module>)
    41421    0.324    0.000    0.378    0.000 rnn.py:231(check_input)
    57025    0.183    0.000    0.372    0.000 {method 'format' of 'str' objects}
   180022    0.313    0.000    0.361    0.000 module.py:2322(named_children)
    40000    0.237    0.000    0.349    0.000 numeric.py:1330(normalize_axis_tuple)
        2    0.000    0.000    0.347    0.173 fake_quantize.py:1(<module>)
        2    0.000    0.000    0.345    0.173 observer.py:1(<module>)
   328558    0.343    0.000    0.343    0.000 {method 'size' of 'torch._C.TensorBase' objects}
    50010    0.239    0.000    0.341    0.000 utils.py:273(_is_ascii)
    41421    0.339    0.000    0.339    0.000 {method 'flatten' of 'torch._C.TensorBase' objects}
    62842    0.338    0.000    0.338    0.000 {method 'unsqueeze' of 'torch._C.TensorBase' objects}
65712/65656    0.111    0.000    0.338    0.000 {built-in method builtins.any}
   400000    0.333    0.000    0.333    0.000 {built-in method torch.is_complex}
    20001    0.184    0.000    0.329    0.000 trace_rules.py:3275(check_file)
        5    0.000    0.000    0.325    0.065 graph.py:1(<module>)
        1    0.000    0.000    0.323    0.323 graph_module.py:1(<module>)
    20700    0.237    0.000    0.317    0.000 <frozen importlib._bootstrap_external>:96(_path_join)
      117    0.001    0.000    0.312    0.003 artist.py:1837(kwdoc)
        2    0.000    0.000    0.310    0.155 _pytree.py:1(<module>)
    23962    0.167    0.000    0.299    0.000 functools.py:35(update_wrapper)
       88    0.001    0.000    0.295    0.003 _pytree.py:161(register_pytree_node)
    20000    0.292    0.000    0.292    0.000 {built-in method torch.ones_like}
        1    0.001    0.001    0.288    0.288 return_types.py:1(<module>)
       85    0.000    0.000    0.287    0.003 return_types.py:13(pytree_register_structseq)
    20002    0.205    0.000    0.287    0.000 eval_frame.py:290(__init__)
    20000    0.283    0.000    0.283    0.000 {method 'type' of 'torch._C.TensorBase' objects}
    20002    0.278    0.000    0.278    0.000 {method 'view' of 'torch._C.TensorBase' objects}
46956/46496    0.122    0.000    0.277    0.000 typing.py:359(inner)
    20002    0.036    0.000    0.276    0.000 utils.py:862(getfile)
     3183    0.006    0.000    0.275    0.000 <frozen importlib._bootstrap_external>:150(_path_is_mode_type)
  1407986    0.274    0.000    0.274    0.000 {method 'append' of 'list' objects}
        3    0.000    0.000    0.274    0.091 generic.py:1(<module>)
    20025    0.074    0.000    0.273    0.000 rnn.py:160(__setattr__)
        1    0.000    0.000    0.272    0.272 debug_prims.py:28(register_debug_prims)
        1    0.000    0.000    0.268    0.268 impl.py:332(inner)
        1    0.000    0.000    0.268    0.268 impl.py:213(_register_impl)
        1    0.000    0.000    0.268    0.268 colorbar.py:1(<module>)
      117    0.007    0.000    0.267    0.002 artist.py:1598(pprint_setters)
    20002    0.233    0.000    0.267    0.000 numeric.py:67(zeros_like)
    40000    0.266    0.000    0.266    0.000 optimizer.py:122(<genexpr>)
    20036    0.090    0.000    0.263    0.000 {method 'sum' of 'numpy.generic' objects}
    40000    0.262    0.000    0.262    0.000 {built-in method torch.broadcast_tensors}
     2911    0.003    0.000    0.259    0.000 <frozen importlib._bootstrap_external>:159(_path_isfile)
   100044    0.187    0.000    0.256    0.000 parameter.py:8(__instancecheck__)
    50006    0.211    0.000    0.244    0.000 std.py:400(format_interval)
    40039    0.136    0.000    0.243    0.000 maze.py:223(_get_full_obs)
  1022872    0.233    0.000    0.233    0.000 _jit_internal.py:1120(is_scripting)
2299/2289    0.007    0.000    0.233    0.000 <frozen importlib._bootstrap>:566(module_from_spec)
    25008    0.121    0.000    0.227    0.000 std.py:102(acquire)
    55857    0.224    0.000    0.224    0.000 {built-in method _warnings.warn}
    40036    0.158    0.000    0.223    0.000 controller.py:64(epsilon)
     4252    0.017    0.000    0.222    0.000 artist.py:1470(get_valid_values)
    20020    0.104    0.000    0.219    0.000 grad_mode.py:83(__exit__)
    20000    0.092    0.000    0.216    0.000 optimizer.py:327(_cuda_graph_capture_health_check)
        1    0.000    0.000    0.215    0.215 polyfuncs.py:1(<module>)
        1    0.000    0.000    0.213    0.213 specialpolys.py:1(<module>)
    20020    0.089    0.000    0.212    0.000 grad_mode.py:79(__enter__)
     8964    0.012    0.000    0.212    0.000 __init__.py:272(_compile)
     2179    0.006    0.000    0.207    0.000 inspect.py:961(getabsfile)
        1    0.000    0.000    0.203    0.203 higher_order_ops.py:1(<module>)
     7315    0.061    0.000    0.201    0.000 inspect.py:848(getdoc)
      265    0.001    0.000    0.197    0.001 dataclasses.py:1219(wrap)
      265    0.013    0.000    0.197    0.001 dataclasses.py:884(_process_class)
        1    0.000    0.000    0.196    0.196 rings.py:1(<module>)
        3    0.000    0.000    0.195    0.065 pyplot.py:987(gcf)
        1    0.000    0.000    0.195    0.195 pyplot.py:777(figure)
        1    0.000    0.000    0.195    0.195 pyplot.py:462(new_figure_manager)
      315    0.002    0.000    0.194    0.001 _compiler.py:740(compile)
    40000    0.078    0.000    0.193    0.000 utils.py:34(now)
    81435    0.123    0.000    0.191    0.000 _VF.py:26(__getattr__)
    55857    0.162    0.000    0.187    0.000 colorize.py:19(colorize)
    20002    0.031    0.000    0.182    0.000 eval_frame.py:448(<listcomp>)
   138841    0.181    0.000    0.181    0.000 fromnumeric.py:72(<dictcomp>)
   201698    0.123    0.000    0.181    0.000 _tensor.py:1059(__hash__)
        2    0.000    0.000    0.180    0.090 runner.py:1(<module>)
     2192    0.004    0.000    0.179    0.000 <frozen importlib._bootstrap_external>:1146(path_stats)
        1    0.000    0.000    0.178    0.178 buffer.py:1(<module>)
    90013    0.176    0.000    0.176    0.000 std.py:231(__call__)
    20048    0.027    0.000    0.173    0.000 _methods.py:47(_sum)
    40010    0.173    0.000    0.173    0.000 {method 'to' of 'torch._C.TensorBase' objects}
    25005    0.147    0.000    0.170    0.000 std.py:186(__format__)
     2328    0.168    0.000    0.168    0.000 {method 'read' of '_io.BufferedReader' objects}
    60072    0.131    0.000    0.165    0.000 base.py:127(__instancecheck__)
   220000    0.134    0.000    0.164    0.000 adam.py:303(<genexpr>)
    77010    0.163    0.000    0.163    0.000 {method 'sub' of 're.Pattern' objects}
     7305    0.108    0.000    0.160    0.000 inspect.py:867(cleandoc)
    25008    0.105    0.000    0.159    0.000 std.py:106(release)
766746/764433    0.157    0.000    0.158    0.000 {built-in method builtins.len}
   200000    0.158    0.000    0.158    0.000 {method 'conj' of 'torch._C.TensorBase' objects}
    20028    0.151    0.000    0.158    0.000 grad_mode.py:74(__init__)
      206    0.000    0.000    0.157    0.001 __init__.py:225(compile)
      223    0.001    0.000    0.156    0.001 artist.py:1422(__init__)
    80040    0.156    0.000    0.156    0.000 {built-in method torch._C._set_grad_enabled}
        3    0.000    0.000    0.154    0.051 _base.py:1(<module>)
      223    0.018    0.000    0.154    0.001 artist.py:1442(get_aliases)
        1    0.000    0.000    0.154    0.154 contour.py:1(<module>)
    20002    0.118    0.000    0.150    0.000 eval_frame.py:141(change)
    82842    0.098    0.000    0.150    0.000 rnn.py:257(check_hidden_size)
   423177    0.149    0.000    0.149    0.000 {method 'get' of 'dict' objects}
    20036    0.149    0.000    0.149    0.000 {method 'rand' of 'numpy.random.mtrand.RandomState' objects}
        1    0.000    0.000    0.148    0.148 rcsetup.py:1(<module>)
        1    0.000    0.000    0.145    0.145 latex.py:1(<module>)
    65002    0.144    0.000    0.144    0.000 {built-in method now}
        1    0.000    0.000    0.141    0.141 frame.py:1(<module>)
    20020    0.112    0.000    0.140    0.000 numeric.py:274(full)
        1    0.000    0.000    0.139    0.139 backend_bases.py:1(<module>)
    41421    0.107    0.000    0.134    0.000 rnn.py:243(get_expected_hidden_size)
        1    0.000    0.000    0.132    0.132 backend_bases.py:3404(new_figure_manager)
        1    0.000    0.000    0.131    0.131 backend_bases.py:3413(new_figure_manager_given_figure)
        1    0.000    0.000    0.131    0.131 backend_bases.py:1774(new_manager)
        1    0.000    0.000    0.131    0.131 _backend_tk.py:479(create_with_canvas)
        2    0.000    0.000    0.129    0.065 errors.py:1(<module>)
